KEY_DATA;DayNum
2021|07|04;6
2021|07|03;5
2021|07|02;4
2021|07|01;3
2021|06|30;2
2021|06|29;1
2021|06|28;0
2021|06|27;6
2021|06|26;5
2021|06|25;4
2021|06|24;3
2021|06|23;2
2021|06|22;1
2021|06|21;0
2021|06|20;6
2021|06|19;5
2021|06|18;4
2021|06|17;3
2021|06|16;2
2021|06|15;1
2021|06|14;0
2021|06|13;6
2021|06|12;5
2021|06|11;4
2021|06|10;3
2021|06|09;2
2021|06|08;1
2021|06|07;0
2021|06|06;6
2021|06|05;5
2021|06|04;4
2021|06|03;3
2021|06|02;2
2021|06|01;1
2021|05|31;0
2021|05|30;6
2021|05|29;5
2021|05|28;4
2021|05|27;3
2021|05|26;2
2021|05|25;1
2021|05|24;0
2021|05|23;6
2021|05|22;5
2021|05|21;4
2021|05|20;3
2021|05|19;2
2021|05|18;1
2021|05|17;0
2021|05|16;6
2021|05|15;5
2021|05|14;4
2021|05|13;3
2021|05|12;2
2021|05|11;1
2021|05|10;0
2021|05|09;6
2021|05|08;5
2021|05|07;4
2021|05|06;3
2021|05|05;2
2021|05|04;1
2021|05|03;0
2021|05|02;6
2021|05|01;5
2021|04|30;4
2021|04|29;3
2021|04|28;2
2021|04|27;1
2021|04|26;0
2021|04|25;6
2021|04|24;5
2021|04|23;4
2021|04|22;3
2021|04|21;2
2021|04|20;1
2021|04|19;0
2021|04|18;6
2021|04|17;5
2021|04|16;4
2021|04|15;3
2021|04|14;2
2021|04|13;1
2021|04|12;0
2021|04|11;6
2021|04|10;5
2021|04|09;4
2021|04|08;3
2021|04|07;2
2021|04|06;1
2021|04|05;0
2021|04|04;6
2021|04|03;5
2021|04|02;4
2021|04|01;3
2021|03|31;2
2021|03|30;1
2021|03|29;0
2021|03|28;6
2021|03|27;5
2021|03|26;4
2021|03|25;3
2021|03|24;2
2021|03|23;1
2021|03|22;0
2021|03|21;6
2021|03|20;5
2021|03|19;4
2021|03|18;3
2021|03|17;2
2021|03|16;1
2021|03|15;0
2021|03|14;6
2021|03|13;5
2021|03|12;4
2021|03|11;3
2021|03|10;2
2021|03|09;1
2021|03|08;0
2021|03|07;6
2021|03|06;5
2021|03|05;4
2021|03|04;3
2021|03|03;2
2021|03|02;1
2021|03|01;0
2021|02|28;6
2021|02|27;5
2021|02|26;4
2021|02|25;3
2021|02|24;2
2021|02|23;1
2021|02|22;0
2021|02|21;6
2021|02|20;5
2021|02|19;4
2021|02|18;3
2021|02|17;2
2021|02|16;1
2021|02|15;0
2021|02|14;6
2021|02|13;5
2021|02|12;4
2021|02|11;3
2021|02|10;2
2021|02|09;1
2021|02|08;0
2021|02|07;6
2021|02|06;5
2021|02|05;4
2021|02|04;3
2021|02|03;2
2021|02|02;1
2021|02|01;0
2021|01|31;6
2021|01|30;5
2021|01|29;4
2021|01|28;3
2021|01|27;2
2021|01|26;1
2021|01|25;0
2021|01|24;6
2021|01|23;5
2021|01|22;4
2021|01|21;3
2021|01|20;2
2021|01|19;1
2021|01|18;0
2021|01|17;6
2021|01|16;5
2021|01|15;4
2021|01|14;3
2021|01|13;2
2021|01|12;1
2021|01|11;0
2021|01|10;6
2021|01|09;5
2021|01|08;4
2021|01|07;3
2021|01|06;2
2021|01|05;1
2021|01|04;0
2021|01|03;6
2021|01|02;5
2021|01|01;4
2020|12|31;3
2020|12|30;2
2020|12|29;1
2020|12|28;0
2020|12|27;6
2020|12|26;5
2020|12|25;4
2020|12|24;3
